Year,Team Name,QB Fantasy Points,QB Fantasy Points Ranking,WR Fantasy Points,WR Fantasy Points Ranking,RB Fantasy Points,RB Fantasy Points Ranking,TE Fantasy Points,Tightend Points Ranking,Team Fantasy Points,Team Fantasy Points Ranking,,Year,Team Name,Playoff Rounds Won
1993,Buffalo Bills,90.5,9,93.82,6,120.13,12,42.73,5,65.63,5,,1993,Buffalo Bills,3
1993,Houston Oilers,71.1,4,95.1,7,79.2,5,0,1,71.72,10,,1993,Houston Oilers,1
1993,Kansas City Chiefs,63.39,3,79.42,3,81.06,6,65.65,9,62.44,2,,1993,Kansas City Chiefs,2
1993,Los Angles Raiders,115.29,11,108.64,10,39.83,1,55.6,7,62.44,2,,1993,Los Angles Raiders,1
1993,Denver Broncos,122.17,12,66.13,2,115.23,11,140.4,12,70.31,9,,1993,Denver Broncos,0
1993,Pittsburgh Steelers,90.47,8,59.23,1,106.65,9,67.2,10,64.7,4,,1993,Pittsburgh Steelers,0
1993,Dallas Cowboys,85.07,6,136.88,12,85.45,7,34.4,3,74.79,11,,1993,Dallas Cowboys,4
1993,San Francisco 49ers,101.85,10,115.49,11,93.32,8,95.35,11,90.49,12,,1993,San Francisco 49ers,2
1993,Detroit Lions,47.01,1,84.84,5,71.04,3,21.9,2,61.63,1,,1993,Detroit Lions,0
1993,New York Giants,51.83,2,82.20,4,77.85,4,40.00,4,66.53,6,,1993,New York Giants,1
1993,Minnesota Vikings,87.37,7,108.5,9,61.12,2,52.43,6,66.98,7,,1993,Minnesota Vikings,0
1993,Green Bay Packers,80.28,5,107.29,8,110.7,10,59.33,8,68.74,8,,1993,Green Bay Packers,1
2000,Tennessee Titans,101.59,5,76.34,4,130.37,12,68.21,9,65.59,4,,2000,Tennessee Titans,1
2000,Oakland Raiders,146.9,9,94.02,5,83.42,6,61.5,7,86.71,8,,2000,Oakland Raiders,2
2000,Miami Dolphins,81.75,3,66.03,3,67.35,5,20.75,2,55.85,1,,2000,Miami Dolphins,1
2000,Baltimore Ravens,58.69,1,59.19,2,104.65,9,97.7,11,63.62,3,,2000,Baltimore Ravens,4
2000,Denver Broncos,94.35,4,126.4,9,65.77,4,63.35,8,86.84,9,,2000,Denver Broncos,0
2000,Indianapolis Colts,290.12,12,141.78,11,100.95,8,116.8,12,89.39,10,,2000,Indianapolis Colts,0
2000,New York Giants,107.25,6,101.96,7,117.97,11,30.37,4,80.46,7,,2000,New York Giants,3
2000,Minnesota Vikings,168.88,11,134.5,10,63.76,3,38.5,5,90.28,11,,2000,Minnesota Vikings,2
2000,New Orleans Saints,125.43,7,103.92,8,57.15,1,43.7,6,69.88,6,,2000,New Orleans Saints,1
2000,Philadelphia Eagles,142.4,8,55.3,1,63.07,2,75.83,10,67.92,5,,2000,Philadelphia Eagles,1
2000,Tampa Bay Buccaneers,72.81,2,101.05,6,90.08,7,28.27,3,59.32,2,,2000,Tampa Bay Buccaneers,0
2000,St. Louis Rams,165.14,10,164.92,12,114.64,10,20.23,1,105.22,12,,2000,St. Louis Rams,0
2011,New England Patriots,183.44,8,92.25,6,62.92,4,272.7,12,104.73,10,,2011,New England Patriots,3
2011,Baltimore Ravens,102.16,2,72.26,2,118.18,11,117.65,11,84.91,6,,2011,Baltimore Ravens,2
2011,Houston Texans,54.59,1,79.1,3,105.1,10,80.8,9,76.63,4,,2011,Houston Texans,1
2011,Denver Broncos,195.16,10,89.72,5,64.98,6,22.5,1,72.8,3,,2011,Denver Broncos,1
2011,Pittsburgh Steelers,111.1,5,129.68,9,59.68,3,68.8,6,85.39,7,,2011,Pittsburgh Steelers,0
2011,Cincinnati Bengals,106.79,4,85.85,4,58.52,2,62.5,5,66.93,2,,2011,Cincinnati Bengals,0
2011,Green Bay Packers,220.77,11,164.84,12,64.62,5,42.56,2,105.98,11,,2011,Green Bay Packers,1
2011,San Francisco 49ers,105.43,3,62.78,1,84.18,8,79.97,8,64.68,1,,2011,San Francisco 49ers,2
2011,New Orleans Saints,194.25,9,128.62,8,125.76,12,78.25,7,109.63,12,,2011,New Orleans Saints,1
2011,New York Giants,280.82,12,97.46,7,81.4,7,56.1,3,85.46,8,,2011,New York Giants,4
2011,Atlanta Falcons,139.2,6,148.55,11,95.93,9,59.3,4,82.97,5,,2011,Atlanta Falcons,0
2011,Detroit Lions,170.27,7,138.1,10,53.41,1,99.37,10,94.62,9,,2011,Detroit Lions,0